Execution started at: 24-Sep-2026 02:55:19
Results folder: Results_Electronics_Hard\2026-09-24_02-55-19
Output format for journal: PDF
VERSION: 5.0 - UPGRADED WITH ADVANCED PAIRED STATISTICS


========================================
CMOS ELECTRONICS OPTIMIZATION BENCHMARK SUITE - HARD VERSION
========================================

Configuration:
  Benchmark type: Electronics (HARD VERSION)
  Number of runs: 51 (Upgraded for higher power)
  Population size: 30
  Max FEs per dimension: 10000
  Statistical significance level: alpha = 0.05
  Output format: PDF (PNG + PDF)

Electronics Problems (HARD VERSIONS):
  E1: Two-Stage Folded-Cascode Op-Amp (18D) - HARD
    Robust sizing of folded-cascode op-amp under Monte-Carlo mismatch (Nmc=50), 18D design variables
  E2: RF CMOS Cascode LNA 2.4GHz (12D) - HARD with Noise
    2.4 GHz cascode LNA optimization with process variation, yield requirement 99%
  E3: Low Phase-Noise LC-VCO with PVT (11D) - HARD
    LC-VCO phase-noise minimization with full PVT variation, tighter PN constraint
  E4: Robust 6T FinFET SRAM Cell (9D) - HARD
    FinFET SRAM cell robust optimization with Nmc=200, yield requirement 99%

Algorithms (6 total):
   1. KDO        - Karma-Dharma Optimizer (Proposed)
   2. SFO        - Swift Flight Optimizer
   3. StMA       - Sterna Migration Algorithm
   4. CAO        - Cell Autophagy Optimization
   5. ERBMO      - Enhanced Red-billed Blue Magpie Optimizer
   6. SMNBKA_ICMIC - Binary Evolution Black-kite Algorithm

Initializing results storage...

========================================
STARTING OPTIMIZATION PROCESS (HARD PROBLEMS)
========================================


--- Algorithm: KDO ---
  Problem: E1: Two-Stage Folded-Cascode Op-Amp (18D) - HARD (dim=18, MaxFEs=180000, MaxIter=6000)
Iter 3600 | Best = 2.5256e+08 | FEs = 109123
Iter 4200 | Best = 2.5256e+08 | FEs = 127379
Iter 4800 | Best = 2.5256e+08 | FEs = 145695
Iter 5400 | Best = 2.5256e+08 | FEs = 164101
Iter    1 | Best = 2.5691e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18150
Iter 1200 | Best = 2.5256e+08 | FEs = 36304
Iter 1800 | Best = 2.5256e+08 | FEs = 54475
Iter 2400 | Best = 2.5256e+08 | FEs = 72668
Iter 3000 | Best = 2.5256e+08 | FEs = 90866
Iter 3600 | Best = 2.5256e+08 | FEs = 109101
Iter 4200 | Best = 2.5256e+08 | FEs = 127355
Iter 4800 | Best = 2.5256e+08 | FEs = 145650
Iter 5400 | Best = 2.5256e+08 | FEs = 164020
Iter    1 | Best = 2.5966e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18154
Iter 1200 | Best = 2.5256e+08 | FEs = 36311
Iter 1800 | Best = 2.5256e+08 | FEs = 54484
Iter 2400 | Best = 2.5256e+08 | FEs = 72675
Iter 3000 | Best = 2.5256e+08 | FEs = 90885
Iter 3600 | Best = 2.5256e+08 | FEs = 109119
Iter 4200 | Best = 2.5256e+08 | FEs = 127391
Iter 4800 | Best = 2.5256e+08 | FEs = 145699
Iter 5400 | Best = 2.5256e+08 | FEs = 164049
Iter    1 | Best = 2.5342e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18149
Iter 1200 | Best = 2.5256e+08 | FEs = 36314
Iter 1800 | Best = 2.5256e+08 | FEs = 54479
Iter 2400 | Best = 2.5256e+08 | FEs = 72663
Iter 3000 | Best = 2.5256e+08 | FEs = 90874
Iter 3600 | Best = 2.5256e+08 | FEs = 109105
Iter 4200 | Best = 2.5256e+08 | FEs = 127370
Iter 4800 | Best = 2.5256e+08 | FEs = 145655
Iter 5400 | Best = 2.5256e+08 | FEs = 164045
25 Iter    1 | Best = 2.5484e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18156
Iter 1200 | Best = 2.5256e+08 | FEs = 36322
Iter 1800 | Best = 2.5256e+08 | FEs = 54491
Iter 2400 | Best = 2.5256e+08 | FEs = 72686
Iter 3000 | Best = 2.5256e+08 | FEs = 90896
Iter 3600 | Best = 2.5256e+08 | FEs = 109124
Iter 4200 | Best = 2.5256e+08 | FEs = 127420
Iter 4800 | Best = 2.5256e+08 | FEs = 145698
Iter 5400 | Best = 2.5256e+08 | FEs = 164051
Iter    1 | Best = 2.5356e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18122
Iter 1200 | Best = 2.5256e+08 | FEs = 36281
Iter 1800 | Best = 2.5256e+08 | FEs = 54440
Iter 2400 | Best = 2.5256e+08 | FEs = 72625
Iter 3000 | Best = 2.5256e+08 | FEs = 90830
Iter 3600 | Best = 2.5256e+08 | FEs = 109086
Iter 4200 | Best = 2.5256e+08 | FEs = 127364
Iter 4800 | Best = 2.5256e+08 | FEs = 145666
Iter 5400 | Best = 2.5256e+08 | FEs = 163998
Iter    1 | Best = 2.5345e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18159
Iter 1200 | Best = 2.5256e+08 | FEs = 36321
Iter 1800 | Best = 2.5256e+08 | FEs = 54501
Iter 2400 | Best = 2.5256e+08 | FEs = 72694
Iter 3000 | Best = 2.5256e+08 | FEs = 90901
Iter 3600 | Best = 2.5256e+08 | FEs = 109135
Iter 4200 | Best = 2.5256e+08 | FEs = 127403
Iter 4800 | Best = 2.5256e+08 | FEs = 145705
Iter 5400 | Best = 2.5256e+08 | FEs = 164065
Iter    1 | Best = 2.5300e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18151
Iter 1200 | Best = 2.5256e+08 | FEs = 36310
Iter 1800 | Best = 2.5256e+08 | FEs = 54467
Iter 2400 | Best = 2.5256e+08 | FEs = 72663
Iter 3000 | Best = 2.5256e+08 | FEs = 90865
Iter 3600 | Best = 2.5256e+08 | FEs = 109102
